,site,DJF_dex,JJA_dex,DJF_dex_s,JJA_dex_s,DJF_d18O,JJA_d18O,DJF_d18O_s,JJA_d18O_s,koppen,clim
1202,isomap_6014100,13.595993056645156,-2.761810667199993,3.4140879619534448,16.909698442825015,-5.226949440709678,-1.1504771096000006,1.2622358128446358,5.122250301011684,Csa,C
1205,isomap_6036903,7.257727272727276,-2.833333333333331,8.110981294638982,12.427982762924774,-4.903181818181817,0.9133333333333322,2.2339129680362055,3.458403613743709,Csa,C
1209,isomap_6071500,11.55051948051948,-2.4333333333333376,5.254180004753148,11.855961463425157,-4.664155844155845,0.8875000000000006,1.892183065914442,2.5861558505498734,Csa,C
1211,isomap_6075000,10.887959183673471,0.5924999999999973,4.857142008231788,7.5454844388327125,-4.901938775510204,-0.9379166666666666,2.551269955141295,2.578450324592058,BSh,B
1220,isomap_6129100,-16.075000000000003,8.84294117647059,16.00425177882428,4.445296608519645,6.0875,-4.6675,3.922788389653462,2.6135936354331117,BSh,B
1225,isomap_6190000,6.253962022847059,10.994075837185186,4.05450416316181,3.429210070841517,0.42382728467058817,0.15486925613580252,0.7470914961576741,0.6865870003090346,N,N
1226,isomap_6190100,12.120000000000001,16.705882352941178,3.514728673320149,3.123103770711078,-1.207647058823529,-1.7264705882352942,0.47411253828804983,0.31963105894269783,N,N
1227,isomap_6190201,8.219991346499999,12.39219115393334,2.449193778179587,2.146402346304352,0.5182208273750002,-0.1510543166,0.7648618037187516,0.38216497524831694,N,N
1228,isomap_6193100,8.987586206896552,8.737142857142851,7.587445917626905,4.8470011768270895,-1.9544827586206897,0.040000000000000986,1.4082848120219504,2.6200109051027134,As,A
1229,isomap_6196700,9.348333333333336,7.760147058823528,4.5285543828003005,6.044047020841118,-4.809166666666666,-2.6100000000000003,1.8670600742094696,1.9410641790159395,N,N
1230,isomap_6198001,9.724587623600002,15.715175855636364,3.771657036166542,10.030604905688904,-3.946540658533334,-0.9943184118636365,1.8598329560620184,0.7598238968712663,N,N
1242,isomap_6230100,13.273620689655173,,7.114435955124763,,-3.423103448275862,,2.5355426589796015,,BWh,B
1245,isomap_6231800,17.084473684210526,,5.47211481170355,,-4.0873684210526315,,1.603891130657804,,BWh,B
1258,isomap_6345000,11.092167530491803,13.491105784256881,7.14198316897186,3.989225240712184,0.24869649762295085,-1.5058237499449543,2.378375155647279,2.465009567746211,Cwb,C
1279,isomap_6368200,6.529285714285714,10.430833333333334,8.85350089293634,5.315945288051369,1.1321428571428573,0.21416666666666673,3.7537223022553214,2.0686809740078878,Af,A
1280,isomap_6370500,11.78604166666667,13.231224489795915,5.4412949360972185,4.927647380313081,-1.1016666666666668,-1.2181632653061223,2.010091554023238,1.4577025164297632,Am,A
1288,isomap_6389400,8.207096774193547,8.1752,4.70157570947497,5.425224876445216,-2.341612903225806,-1.0904,1.9626267730152078,1.5370711889824757,Aw,A
1290,isomap_6422000,14.7325,16.125,5.592400535548219,2.5820292407329553,-3.4837499999999992,-1.5249999999999997,1.8011415650914286,1.4618053906043713,Aw,A
1291,isomap_6465001,9.40695705523077,11.519779938866668,4.600697305197006,6.3808251522181525,2.2138501060769227,-2.0599352878666672,1.2633875313111322,2.4044014334516346,Aw,A
1292,isomap_6465002,13.986324152400002,13.059487879285715,3.4114486697279696,7.209497911977697,1.0345585337,-2.217615115642857,1.2814546766766615,2.8384735672495403,Aw,A
1293,isomap_6470000,,8.447222222222221,,8.77791439767098,,-2.4520833333333334,,4.080221837480844,BSh,B
1295,isomap_6491001,12.583334107538455,11.120926090192306,3.626032476270423,1.9730663956891648,-1.1955850066153841,-2.3969923149615378,1.1433251254199337,0.9334147205913099,Am,A
1297,isomap_6534403,10.010117516100001,11.285389267333334,4.6815942106623485,2.7745128846349227,-1.0705576395,-3.2186553144583336,2.1923984264789564,1.2994064797176805,Aw,A
1303,isomap_6621500,11.837600000000002,19.119999999999997,4.815828302587204,4.099999999999996,-4.861199999999999,0.03499999999999999,2.0903632602971185,0.17500000000000004,Aw,A
1306,isomap_6708500,13.357916666666668,15.242666666666661,4.339231862867226,6.10986902932915,-8.447916666666666,-3.305333333333333,3.6387806785225303,1.9606082956289073,Cwb,C
1309,isomap_6756100,12.097244272242856,,4.110276295162458,,-6.189953943414285,,2.546806317861175,,Cwa,C
1310,isomap_6777400,13.381780821917808,10.857333333333331,3.520204439294217,8.071176260138436,-6.311986301369863,-0.631333333333333,2.998608437501666,2.1159264847552928,Cwa,C
1311,isomap_6811000,8.234500000000002,22.330000000000002,7.297650289648032,5.3888495989403795,-3.7652500000000004,-0.9900000000000002,4.21171163987992,2.2563909235768524,BSh,B
1313,isomap_6826200,11.821090909090909,10.193999999999999,7.98919399114198,7.464401114624,-3.586727272727273,-0.5729999999999998,2.3549569033273037,2.0092165139675715,Cwa,C
1314,isomap_6881600,6.583286840666667,14.464713700656718,14.418972921681036,4.176241506671517,-0.9339000760392159,-3.582464895940299,3.0374505318926532,1.1918740285360685,Csa,C
1315,isomap_6881601,8.033142857142854,13.802926829268294,7.268100074564023,8.588166062188087,-1.3862857142857141,-3.475365853658536,2.2016631190524856,1.4750181438503345,Csb,C
1316,isomap_6890600,7.374626793434785,11.411248288576925,3.8762353637758538,3.291535487626594,-3.055365420847827,-4.318875406673077,1.122847846373248,1.1019978288417276,N,N
1317,isomap_6899400,6.70642096282353,9.51315913628,7.181838624631678,4.545581466939566,-3.989446419960784,-4.900080470160001,1.6185151706783347,1.2040013737998574,N,N
1319,isomap_7021900,4.0666666666666424,-1.4666666666666768,8.113397699005159,9.224996236072716,-14.691666666666665,-10.358333333333333,3.6572891448296643,2.4847730725807193,Dfc,D
1320,isomap_7045400,8.611764705882361,4.571428571428576,5.927336705066187,4.269551426995017,-9.391176470588235,-8.55,2.4799831174779756,1.1810286073709528,Cfc,C
1321,isomap_7107200,11.918571428571402,2.936000000000006,7.158840545729714,9.34043596412931,-32.63714285714286,-19.43866666666667,3.253864578294182,2.7959610552048506,ET,E
1322,isomap_7108100,9.678571428571415,5.292000000000001,10.807215748975217,6.110270261344142,-34.94285714285714,-17.510666666666665,3.5008477107520024,2.5092667366295567,ET,E
1324,isomap_7108200,14.001538461538447,10.657333333333302,4.967862636144213,4.739580103295617,-35.610769230769236,-23.20133333333333,2.196253668753861,2.036309952394827,ET,E
1325,isomap_7116301,7.310344827586219,3.7152941176470544,4.263511975338207,2.096759734467227,-27.755172413793098,-18.19235294117647,3.1258385034393292,1.7503731683197434,Dsc,D
1328,isomap_7129600,14.078333333333338,7.965714285714284,3.518526759249608,3.809180103542557,-14.790000000000001,-7.059999999999998,2.1764420506873137,1.8377431811871856,Dfb,D
1329,isomap_7129901,11.859999999999998,7.827500000000001,4.156606110635733,2.478857347650325,-22.300769230769227,-10.211249999999998,2.960537359934184,1.9574015779854677,Dfb,D
1330,isomap_7139800,13.484999999999998,7.18260869565217,6.087214058992836,5.408821472044175,-12.617916666666666,-7.017391304347826,3.239657876955869,1.2623828999203626,Dfb,D
1331,isomap_7140801,13.489189189189187,10.070526315789474,3.553844038600166,2.758537892061492,-11.991891891891893,-7.056842105263157,2.8010778213547747,1.2434991064334666,Dfb,D
