,lat,lon,cam2_m,cam2_b,cam5_m,cam5_b,echam5_m,echam5_b,gissE_m,gissE_b,HadAM3_m,HadAM3_b,isoGSM_m,isoGSM_b,lmdz_m,lmdz_b,miroc_m,miroc_b
1310,-17.83,31.02,8.69792979444387,17.328482036022084,7.699665416847248,9.883852935017119,6.121413572466304,4.387330946953656,8.41805250865603,15.858130990424469,7.448154081545108,10.184885279510235,8.35447706888488,14.910628803383526,8.274395029479138,12.641425784935787,8.724959026238528,15.36422175454495
1311,-22.94805556,17.1525,8.418975750366384,17.794292489102453,7.316012309924688,9.99133599682259,8.076257364422311,8.48859841165644,8.300883934762101,16.433687853173208,7.38392324070529,9.227577251500625,8.436292258880886,15.265497339631237,8.01888079032454,8.852274745864595,8.499583896918075,12.094675290424252
1313,-25.73,28.18,9.288395771037651,20.253100679493617,7.56470281183377,10.70483455651925,8.312250009241717,12.507920061601617,8.602773024301886,17.193811133741985,7.827767393924349,12.414604295509248,8.554542872856095,16.315219438779295,8.937951372033414,16.247171890869456,8.854017297291337,17.106100719826525
1314,-33.97,18.6,8.823041436918293,16.182717340361602,7.533405258523368,7.453938629072824,7.586161947001402,9.724726725456692,8.531555464255923,13.896634931115079,7.053379066165433,4.63281771998947,7.731712886491824,11.501117348953137,7.495980222514662,9.880223374931116,8.861180122117274,15.623071507866996
1315,-33.95833333,18.46111111,8.150348268926843,12.435622259051819,7.472111876312312,6.1186356346673545,7.557694988046676,8.028844563336051,8.43697431769169,12.045200221494795,7.051367534277781,4.6050631621782605,7.5000582750944496,10.104639905398962,7.564233488360862,10.044191592573933,8.3737173185167,12.437574693265208
1316,-40.35,-9.88,7.768375849876967,5.768782176098254,7.764034538757168,5.739392387929553,7.9272302984103336,6.403836699208533,7.931699963068794,6.3361117225067005,6.939379269440011,0.1673151698385911,8.01128559581725,8.577882852444683,8.098451468778055,8.389821438623708,8.33294749579,9.87043500764076
1317,-46.88,37.87,7.596483210644178,4.844212816570435,8.460888785248876,12.379878738601027,7.927020183321986,6.07241562517019,7.97149997526213,6.254693078566353,7.38715912186495,-0.08374643153679305,8.235549638735868,11.261058567042989,8.232487629152347,9.10777702607119,8.260027834761885,10.510129242172358
1319,60.78,-161.8,7.80001439287753,1.1788393983534948,7.660686997290428,1.4972787302362298,7.463397006830352,-0.8511508471098627,7.860880631237997,3.296324032065681,9.013957838098912,12.671618890697212,7.728351839754516,3.478571613160507,7.721832454721462,0.31149776469044754,7.8715120554208315,3.109550577305441
1320,51.88,-176.65,7.388393889023531,0.4312306098096383,7.291785167484339,-1.0175311310067003,7.368643235727103,-0.06072991112539599,7.882847599262691,3.758083965593991,7.564659746138411,2.440897880604705,7.853018891105241,6.876625944084419,7.3316644341973785,0.5049839568799538,8.160294168324661,8.2583487990306
1321,76.23333333,-119.28333329999998,7.6966342283915585,-0.8350989395202301,8.274067893271255,11.858154070453901,8.043025193446887,4.25679373944262,7.451665257495272,-2.7986524488611124,7.607607975664323,-6.345432373588077,7.912192093292991,7.311929187474178,7.462088596613221,-9.610318086075791,7.360546127836008,-6.733663098574319
1322,68.78666667,-81.25,7.703215633989126,-0.4994664541704552,8.260354562128162,13.909919399275928,8.131179742547829,7.578441341433047,7.735552030658214,3.942986399936757,7.942851387514162,2.1808015491594017,7.708472688246231,5.187623746387423,7.72575427763624,-1.905591285458472,7.347107265408516,-5.874680733225618
1324,82.5,-62.33333333,7.500932519776074,-5.849913454006051,7.995511379938499,6.004382300450664,8.390034769281195,9.925497203765865,7.491923649830073,-2.9560461748000253,7.680074314019587,-6.3870584624759195,7.422955459937503,0.9898848222999226,7.571377037588251,-6.932343613506255,7.202311939689983,-11.799445260300404
1325,63.52,-116.0,7.881781196487537,2.176998810220607,8.559735736894522,19.092717971892558,7.816490568784335,2.8016958772884117,7.940343311098802,5.8469268073670895,8.267303137918471,7.084873935222589,7.909939680274499,5.3621705867398415,7.47445136028149,-8.416430194768555,7.506372592462374,-4.077663472288159
1328,44.23,-79.77,8.39333453031479,14.190579533984105,8.314798281378716,17.530255865039845,7.955891543366754,10.428899543006295,8.35301325712785,16.619217751177917,9.42713011850338,26.7400618298837,8.129554825052514,13.549603230086705,8.086998182236107,10.217181983315504,8.09371553130971,10.732555905054294
