,site,m,mse,b,bse,inv_condnum,res_var,n,lat,lon,elev,proj,koppen,clim
909,isomap_1614001,7.121739964807735,0.3113372175002356,1.6454923427503114,2.4528465316073036,0.0365115346968,37.0647655482,48.0,44.52361111,11.33888889,35.0,20.0,Cfa,C
910,isomap_1615801,7.9149856271407435,0.2717069002594323,9.451709233597372,1.449942051849318,0.0541742872934,15.1534531767,60.0,43.71,10.4,12.0,20.0,Csa,C
952,isomap_1668901,7.8399344739012955,0.27504840139485803,9.926451749366098,1.4987648680027654,0.0609495943671,43.8053953883,124.0,38.28,21.79,100.0,20.0,Csa,C
954,isomap_1671601,6.853012824466238,0.19209649883679036,5.629304461824598,1.2643586533102973,0.0528839322497,43.6925171639,137.0,38.05011111,23.866675,498.0,20.0,Csa,C
955,isomap_1671701,6.720184608219714,0.188284227613603,4.757906368503854,1.1016103367549608,0.0646149215924,37.2203076201,126.0,37.97,23.72,107.0,20.0,Csa,C
959,isomap_1702600,6.758817569598389,0.1598510966198511,3.1461046205698264,1.3519936463044087,0.0347230283011,20.445987534,79.0,42.025,35.15833333,32.0,20.0,Cfa,C
960,isomap_1704000,7.391445149558909,0.1453445509590123,9.479250386286248,1.1985700271664903,0.0380760357235,15.8574717093,77.0,41.02444444,40.52,136.0,20.0,Cfa,C
961,isomap_1705000,6.686113582796586,0.22228123885103585,-0.39899137072690277,1.7515813553367954,0.0413684355564,39.6525295008,73.0,41.67805556,26.55916667,48.0,20.0,Csa,C
962,isomap_1709600,7.754758088659534,0.0974349422047429,9.275659893592032,0.9277944473167705,0.0556699940574,22.5619461534,74.0,39.91055556,41.27555556,1758.0,20.0,Dsb,D
965,isomap_1713000,7.383012475487307,0.06930390057686739,5.534716278823795,0.5828485269978237,0.0482755479623,36.6035844628,462.0,39.95,32.88,902.0,20.0,Csb,C
966,isomap_1722000,7.515419428527806,0.3293756948360918,8.989244323357841,1.6839566418471945,0.056840018486,21.6619966531,58.0,38.43055556,27.15111111,120.0,20.0,Csa,C
970,isomap_1728000,7.555996563464773,0.1847798494358831,11.916604691032761,1.3158980994994867,0.0720285883849,37.4708366077,61.0,37.90111111,40.20361111,686.0,20.0,Csa,C
